,cut_true_function,cut_false_function,cut_true_effect,cut_false_effect
531,温中燥湿,,刀伤跌扑,慢性结核
532,益气养阴,,水肿尿涩,天行热病
533,疏肝和胃,,肺寒咳嗽,小肠疝气
534,逐水利尿,,反胃噎膈,风温初起
535,消食止痛,,体弱乏力,诸风头眩
536,软坚散结,,乳络不通,咳嗽不止
537,清肺解表,,寒湿泄泻,小儿腹胀
538,宣肺利水,,风湿腰痛,酒精中毒
539,益气活血,,留饮结胸,肺气壅实
540,利尿除烦,,惊悸癫狂,脘腹饱胀
541,收涩止痢,,头昏多梦,毛虫刺伤
542,滋阴益肾,,风湿跌打,腰脚酸软
543,心烦失眠,,中暑呕恶,饮食积滞
544,益肾壮阳,,砂淋尿血,腰膝乏力
545,行气调中,,口渴虚烦,风水痛肿
546,清热排脓,,便结腹胀,身目俱黄
547,消肿止带,,气滞胸痛,食滞胀满
548,除烦止咳,,耳鸣目花,泄痢后重
549,理气化痰,,呕吐酸腐,狂犬咬伤
550,益肾补气,,痨伤腰痛,面部雀斑
551,消瘰化瘀,,龋齿牙痛,感冒夹惊
552,调经养血,,瘀热发黄,妇人难产
553,镇惊解毒,,心悸易惊,阴部溃疡
554,利湿祛风,,咯血湿热,关节酸疼
555,温经活络,,痰涎壅滞,胃腹疼痛
556,镇痉熄风,,肝虚目昏,刺伤中毒
557,润肠通便,,食滞胃脘,小儿卵肿
558,健脾开胃,,虚损不育,肌肤皲皱
559,发表顺气,,血淋血尿,皮肤红肿
560,祛寒散滞,,目黄溲黄,聤耳流脓
561,除痰散结,,红肿瘀痛,心火亢盛
562,驱虫止泻,,内痔外痔,皮肤疮疖
563,安神降压,,伤寒阳毒,咽候肿痛
564,清肺泻热,,丹毒疮肿,日久化热
565,益肺止咳,,赢瘦面黄,阴下湿痒
566,补气固表,,挫伤肿痛,筋脉劳伤
567,镇静止痛,,中风惊痫,关节痹痛
568,益气开膈,,血热瘀滞,疳疮痘毒
569,利水软坚,,肺热痰嗽,内外出血
570,抑菌杀菌,,肠燥便难,倦怠无力
571,消炎散肿,,肝炎肠炎,视物模糊
572,疏风退热,,痨热骨蒸,痰火郁结
573,和瘀消肿,,痉挛抽搐,皮肤烫伤
574,益气养血,,食少浮肿,大肠湿热
575,清凉散毒,,风火赤目,外袭皮毛
576,定心安神,,心烦口干,翳膜遮睛
577,健脾养胃,,阴虚肺劳,沥涩不通
578,固经止带,,顽痰积结,咳喘久患
579,解毒疗疖,,噎膈吐食,小便淋浊
580,敛阴安神,,风热体倦,痰饮积聚
581,解毒排脓,,口苦苔腻,脱力黄肿
582,收湿止痒,,干咳少痰,脚趾湿痒
583,补气养血,,疮疖痈疖,肠胃气胀
584,润肤除皲,,遗精消渴,醉酒头痛
585,强心利尿,,胃热脘痛,慢性溃疡
586,生津收敛,,头痛健忘,肺气不降
587,消疳健脾,,虚赢内热,肛门生痔
588,和血调气,,脾虚厌食,大便溏滞
589,疗伤止血,,瘿瘤结核,角膜干燥
590,止血润肠,,健忘多梦,外感热症
591,祛风止咳,,热病燥渴,子宫颈炎
592,杀虫止痛,,疮疥疖肿,毒蜂咬伤
593,敛疮止血,,肾虚作喘,痰饮诸症
594,消肿祛瘀,,霍乱吐逆,胃寒痛胀
595,清热解痉,,骨蒸劳热,脾胃虚寒
596,补气益血,,暑热泻痢,肢节疼痛
597,和络止痛,,目赤障翳,带脉失约
598,止痒止血,,多汗遗精,热毒之证
599,散寒行滞,,骨弱肌萎,痈肿作痛
600,利水除湿,,咽干喉痛,小儿齁咳
601,理气安胎,,胃寒纳少,叶血衄血
602,通阳散结,,头晕耳鸣,阴部痒肿
603,止咳化痰,,流通气血,口腔溃汤
604,通乳催乳,,泻下痢疾,皮肤顽癣
605,强筋活络,,奔豚气逆,胃脘胀满
606,驱虫治疟,,阴毒伤寒,急性肠炎
607,凉血通淋,,肝经热盛,筋骨风痛
608,解热燥湿,,风毒赤眼,饮食不香
609,补肾疗虚,,中风痰厥,风痹疼痛
610,消热解毒,,遗精白浊,脘腹挛痛
611,活血止带,,湿阻气滞,产后腹疼
612,健脾消胀,,热病神昏,感冒夹湿
613,消炎退热,,跌打内瘀,白带过多
614,散风解郁,,高热喘促,疮疖出血
615,和胃安神,,喉痛舌肿,多梦
616,平喘止咳,,食积胀满,热毒病症
617,退热截疟,,跌仆损伤,身疲乏力
618,收涩健胃,,寒疝奔豚,小儿风痫
619,祛湿利胆,,咳喘痰黄,咽喉肿疼
620,止血消瘀,,头风痹痛,疮癣搔痒
621,益肾续骨,,风湿痿痹,皮肤疥癣
622,消食通便,,肾虚水肿,湿润黄疸
623,温中去积,,遗精盗汁,痈疖肿痛
624,清热消痰,,拘挛疼痈,胸胁不舒
625,清热散肿,,内湿骨痛,小便清长
626,祛瘀通经,,疔疮肿疡,小儿疳瘦
627,明目退翳,,顽麻风痹,津液被伤
628,清热降气,,痰饮喘咳,肝肾阴亏
629,养肝滋肾,,喉风喉痹,心火烦躁
630,防腐止痒,,风疹丹毒,恶露不尽
631,生津解渴,,跌打伤痛,角膜云翳
632,清心安神,,胸痛咳血,小儿疰夏
633,健胃杀虫,,咽痛音哑,诸虚劳损
634,清热除蒸,,呃逆饱胀,淋巴肉瘤
635,利水通便,,流注痰核,目生翳障
636,解酒醒神,,肿毒恶疮,眼脸赤烂
637,行气化痰,,不育不孕,烦躁不安
638,健脾止带,,热滞泄泻,胸脘胀痛
639,解毒利咽,,月经衍期,全身黄肿
640,强骨定痛,,体虚乏力,关节疹痛
641,补虚止咳,,津伤烦渴,小儿积食
642,健脾和中,,湿疹癣疮,胃脘气痛
643,和解退热,,肾虚尿频,发热不退
644,消炎解表,,痔漏便毒,疮荡肿毒
645,益肝明目,,肺热鼻衄,肺痨咳嗽
646,燥湿止泻,,泻下急迫,癫狂谵语
647,宽胸补气,,湿热泻疾,肢体痿痹
648,回阳通脉,,阴虚燥咳,烂弦风眼
649,清肺养阴,,肝炎水肿,水炎烫伤
650,降气定痛,,高热惊痫,肌肤干燥
651,调经活血,,肢麻拘挛,骨哽咽喉
652,强精滋肾,,咳喘多痰,小儿疳渴
653,滋阴养血,,瘟疫发热,乳汁缺乏
654,解毒疗痈,,发热胸痛,妇女虚劳
655,明目安神,,疖疥疥癣,肠炎腹痛
656,去积消肿,,疮疖痈痛,痰黄且稠
657,泻下通便,,感冒关痛,口渴少津
658,止痛消炎,,热病痰多,不思饮食
659,下气通络,,呕逆腹痛,目翳遮晴
660,清热祛风,,感冒发热,经络不通
661,祛湿排脓,,湿邪内蕴,皮肤疥癞
662,温中散寒,,恶心欲吐,妇女闭经
663,温阳降逆,,虚损劳热,邪气惊狂
664,除烦生津,,咳喘痰嗽,暴赤火眼
665,燥湿除疣,,头风目眩,精神抑郁
666,舒肝理气,,血淋涩痛,青盲翳障
667,舒肝散结,,疔疮丹毒,水草中毒
668,温中理气,,食积脘胀,刀枪外伤
669,凉血安胎,,头痛目眩,产后血崩
670,止咳止血,,痰火咳血,气虚诸症
671,益气固脱,,虚弱劳怯,大便不通
672,舒肝和胃,,蛊毒下血,胃肠胀气
673,清热泻火,,湿热水肿,产后血虚
674,清凉解毒,,目赤口疮,病后体弱
675,逐寒祛湿,,散风逐寒,膀胱虚冷
676,接骨镇痛,,疝气腹痛,瘀热心烦
677,祛风止痛,,目昏翳障,四肢倦怠
678,安神明目,,痰热咳喘,久疮不愈
679,消痈排脓,,肺热咯血,小儿烦躁
680,清热散毒,,风痒湿疹,亦白带下
681,止血清肺,,虚劳赢瘦,腹痛拒按
682,强腰补肾,,疮疖痈疽,瘰疬初起
683,散寒发表,,痈疽疔疖,白秃诸疮
684,化湿通络,,跌伤红肿,胞腹胀痛
685,解表散热,,胃寒气痛,扁挑体炎
686,祛风定痛,,肾虚喘咳,小儿惊癎
687,疗癣解毒,,痈疮疔疡,内伤咯血
688,固肾助阳,,骨湿痹痛,虚喘不止
689,化瘀止血,,烦热头痛,咽喉江肿
690,散寒止嗽,,劳伤身痛,口疮糜烂
691,宽中理气,,衰弱无力,肌肤不泽
692,清热理肺,,虚寒咳嗽,心胃冷痛
693,消水消肿,,吐血咯血,寒湿久痹
694,养阴明目,,青盲目暗,胸痹绞痛
695,清肺解毒,,目赤烂弦,病后虚羸
696,驱风逐湿,,血热吐衄,全身瘙痒
697,养阴清胃,,潮热骨蒸,中鱼蟹毒
698,明目消翳,,湿热毒蕴,病气疼痛
699,解毒敛疮,,伤食腹泻,肠胃湿热
700,消食化气,,血虚乳少,接筋骨
701,和解少阳,,脾虚久泄,胁肋疼痛
702,强筋壮骨,,喉痹目翳,夏月感冒
703,开胃消食,,眩晕心悸,肢体沉重
704,消食健脾,,风热鼻塞,阴囊湿疹
705,清心除烦,,疼痛青紫,肝肾不足
706,凉血散瘀,,暑湿呕吐,皮肤疮毒
707,抑菌消炎,,腥胀腹泻,无汗而喘
708,祛风除臭,,阴伤便秘,疠风瘙痒
709,健胃补肾,,痰滞气逆,手足无力
710,解毒和胃,,食滞胃疼,小儿血痢
711,滋阴补肾,,食滞泄泻,筋骨不舒
712,痈肿发背,,疮毒疔肿,皮肤痊痒
713,滋阴润燥,,风热感冒,胃寒疼痛
714,泄火解毒,,虚损咳喘,脉滑数者
715,拔毒排脓,,疥癣痒疮,外感无汗
716,杀虫疗疮,,淋漏下血,胝肋胀痛
717,镇静解痉,,风湿痹痛,腰腿疼痛
718,补虚强筋,,暑热烦渴,噤口不食
719,温肾止痛,,疮痈癣癞,风火牙痛
720,清热润肺,,痈肿瘰疬,胆囊结石
721,补血止血,,瘀血经闭,小儿惊风
722,解毒除湿,,疔毒疮肿,牙龈脓肿
723,散瘀利湿,,肠燥便秘,乳法不足
724,散寒解表,,顽癣疥疮,蛇虫螫伤
725,泻下逐水,,咳嗽气急,痔疮肿痛
726,化毒消肿,,梦遗虚滑,小便失禁
727,活血通淋,,痰涎壅塞,可疗肾虚
728,补脾益气,,神萎懒言,筋骨酸楚
729,活血生肌,,心腹卒痛,产后风虚
730,安神定喘,,湿热黄疳,咽喉不利
731,杀虫攻毒,,食滞吐泻,小儿口疳
732,消肿疗疮,,寒湿白带,外痢脱肛
733,滋阴补肺,,湿疮疥癣,咳声短促
734,益气复脉,,瘰疬溃疡,腰痛酸软
735,驱风解热,,水肿疮毒,痈疖红肿
736,行气止疼,,痈疽肿毒,小便淋漓
737,通脉解毒,,腥胀腹痛,久年哮喘
738,养肝明目,,烂喉丹痧,面色不华
739,醒脾消食,,食少反胃,腰腿酸痛
740,泻肝祛热,,痛疽肿毒,泻实热
741,消积杀虫,,胀饱满闷,精神倦乏
742,祛湿止淋,,水饮停肺,肝硬腹水
743,润肺抗痨,,咽干口燥,火眼肿痛
744,降压利尿,,虚寒呃逆,大便不畅
745,温脾安胎,,呕吐泄泻,预防水泻
746,利水化湿,,阴伤目暗,日晡潮热
747,拨刺消肿,,头风眩晕,腰肌酸痛
748,清血止血,,神疲乏力,肺痈痰多
749,化痰理气,,温病口渴,扁桃腺炎
750,润肺清燥,,风寒呕吐,产后红崩
751,豁痰开窍,,苔黄脉数,胸中烦热
752,除湿利水,,水肿腹大,筋肌疼痛
753,除湿利尿,,湿热毒疮,刀枪损伤
754,补虚调肝,,阴疽瘰疬,关节骨痛
755,理气调中,,瘰疬恶疮,肾孟肾炎
756,发汗利水,,壮热惊痫,痰结瘿瘤
757,杀虫解毒,,痔疮便秘,肾阳虚寒
758,利尿止汗,,骨折疼痛,胃脘胀痛
759,宣壅逐湿,,中风偏竣,久咳不止
760,行气和胃,,心悸怔神,小腹胀满
761,安神调经,,风湿毒疮,金创出血
762,消积化痰,,寒湿吐泻,孕妇劳热
763,温阳散寒,,呕逆反胃,足膝疼痛
764,润肺养阴,,痰多色黄,痢疾腹泻
765,凉肝止血,,暑气霍乱,脾运不健
766,通淋解毒,,崩中漏下,痔疮止血
767,健胃养阴,,瘀滞经闭,小便癃闭
768,利尿止带,,血虚眩晕,血尿带下
769,利水散瘀,,热病伤津,皮肝瘙痒
770,破血止血,,风热疮癣,皮肤风痒
771,养血柔筋,,脚气攻心,腰脚不遂
772,清热去腐,,劳嗽咳血,眼赤疼痛
773,益气解毒,,肝热惊痫,手脚麻木
774,宣肺理气,,高热咳喘,痰火瘰疬
775,化痰截疟,,尿血便血,精神恍惚
776,祛瘀止痛,,疮疡肿毒,小儿菌痢
777,厚肠止痢,,疮痈溃疡,脚气肿毒
778,解毒祛湿,,瘀滞疼痛,水湿上注
779,疏风活血,,疮毒溃烂,恶露不下
780,解毒疗疹,,虫积腹痛,创伤出血
781,生肌敛创,,水肿腹满,筋骨扭伤
782,润肠解毒,,尿少水肿,嗳气频频
783,补中解毒,,风湿肿痛,五痔湿热
784,补气摄血,,肝热止赤,小腹冷痛
785,疗疮止血,,顽痰咳喘,腹腔症块
786,补虚强身,,舌淡脉细,下肢疖肿
787,理气活血,,脾虚腹泻,出血量多
788,杀虫止痒,,喉痹咽痛,痈疽难溃
789,消积散结,,湿热身肿,胃热呕逆
790,健脾止泻,,湿热浮肿,肠胃实热
791,祛风镇痛,,血痢尿血,蜈蚣咬伤
792,降火生津,,体倦乏力,筋骨挛缩
793,补肾纳气,,青盲障翳,肺肾二虚
794,益气和胃,,体虚头晕,久痢不愈
795,清肺降气,,遗精滑泄,饮酒过度
796,消瘰疗疮,,噎食积块,历节疼痛
797,祛风消肿,,虚劳失精,全身酸痛
798,利胆退黄,,梦遗失精,创伤肿痛
799,解毒利湿,,肠痈下血,痘疹不出
800,退热消暑,,症瘕经闭,产后血闭
801,平肝泻火,,肾虚腹泻,急性湿疹
802,消痈肿,,贫血虚弱,胸隔烦热
803,清肝息风,,肠寒泄泻,蜂蝎刺螫
804,止血安胎,,胸闷喘息,五脏气虚
805,行气止血,,胃寒腹痛,带下阴痒
806,散结解毒,,痰壅喘逆,感受暑邪
807,行气消食,,风火眼痛,翳膜内障
808,排脓止咳,,跌仆闪扭,精血不足
809,温中止痛,,崩漏黄疸,胞脘胀闷
810,利咽开音,,金疮肿毒,胸脘胀满
811,补脾胃,,肺痨久嗽,大便脓血
812,通络止痛,,耳鸣眼花,慢性肾炎
813,收敛止血,,疔疮痈疽,口唇糜烂
814,补气安神,,疮疡湿疹,乳汁不畅
815,发表解毒,,体虚水肿,下痢后重
816,托毒生肌,,劳累咳嗽,胃肠出血
817,滋阴止血,,脚气转筋,口腔溃烂
818,祛风散寒,,目赤肿痛,皮肤癣证
819,升阳举陷,,阴虚烦热,妇女感寒
820,消风明目,,感冒无汗,皮肤瘀斑
821,排脓解毒,,疖疔痈肿,肺气不宣
822,除湿止痛,,眦烂多泪,大便下血
823,杀虫消痈,,疔疮疖肿,身体衰弱
824,降气消暑,,吐酸嗳腐,热性胃痛
825,清积杀虫,,腹痛下痢,神经衰弱
826,搜风胜湿,,痰热惊厥,下痢清稀
827,调气和血,,痈肿疮疡,砒霜中毒
828,健脾益气,,热毒泄泻,视力减退
829,活血益气,,衄血便血,恶寒诸症
830,解毒止痢,,烦渴久泄,托痘疮
831,止痒消肿,,胞膈痞满,目生云翳
832,活血解毒,,血虚便秘,流汁黄臭
833,疏肝解热,,肾虚滑精,伤口不愈
834,补肾壮腰,,湿毒脚气,病后体虚
835,消食导滞,,疏风除湿,肝气郁结
836,补脾和胃,,失眠多梦,瘀血肿胀
837,凉血祛瘀,,咳嗽口渴,疮疹痒痛
838,降逆调中,,阴虚阳亢,小儿疳症
839,调经止痛,,痢疾腹痛,流涕诸症
840,舒筋散瘀,,少寐多梦,心气不足
841,清热截疟,,盘脉拘挛,疯狗咬伤
842,消食宽中,,伤暑头痛,无名肿痛
843,散寒止咳,,肝炎黄疸,精气不固
844,温肾健脾,,水肿病茎,赤白带下
845,消肿止痛,,津少口干,小儿瘰疬
846,消积止痛,,肺炎黄疸,虚热外浮
847,疏肝解郁,,胃痛呕吐,腰膝不利
848,涩肠固精,,眼花目眩,肛门肿瘤
849,清热通便,,白带崩漏,肝阳头痛
850,祛湿止痒,,脱肛泻血,淋马结炎
851,平肝清热,,体虚资汗,金创肿痛
852,祛瘀解毒,,疮疖癣癞,下焦寒冷
853,发表散寒,,虚热咳嗽,水饮内停
854,利尿托毒,,风热目昏,心经有热
855,利水化痰,,惊风抽搐,诸虫咬伤
856,调中补虚,,气滞积聚,身体虚弱
857,润肺化痰,,虚赢血痢,脱肛不收
858,消疳化积,,血凝气滞,心下胀满
859,泻热止痢,,肺痨发热,少腹冷痛
860,活血逐瘀,,热咳痰稠,产后失血
861,行气和中,,腹胀腹泻,胆道感染
862,解毒散结,,神疲肢倦,头目眩晕
863,攻毒蚀疮,,久痢脓血,肌肤瘙痒
864,壮阳强骨,,虚羸寒热,赤眼疼痛
865,补精养血,,虚瘤发热,乳汁郁积
866,理气祛风,,肺痨咯血,风寒痹症
867,化积疗疳,,痛肿疮毒,身热不退
868,养血润燥,,肠热痔血,夜眠不安
869,行气祛瘀,,表虚自汗,脘腹胀痛
870,理气宽中,,舌红脉数,肺阴亏虚
871,疏散风热,,食少化迟,风热外袭
872,退热消炎,,头痛鼻塞,肾气不足
873,活血养心,,中风语蹇,脚气湿肿
874,利水消肿,,湿浊吐利,腰胁疼痛
875,发汗祛风,,瘀滞胁痛,胆囊积石
876,益脑清心,,风寒痹痛,胸腹刺痛
877,补气益肺,,脾虚下痢,郁滞肌表
878,活血祛风,,打扑伤损,肢体困倦
879,平喘化痰,,目赤火眼,胃痛隐隐
880,利尿散结,,癫痫抽搐,小便不通
881,除湿止痒,,湿阻痞满,大便干结
882,破瘀消肿,,胃痛吐泻,蛇毒螫伤
883,杀虫驱虫,,泻痢食少,乳房作胀
884,温肺定喘,,脾虚泄泻,胃腹胀满
885,散寒祛湿,,麻风疥癣,下肠痈疡
886,收敛凉血,,咽干口渴,跌打扭伤
887,补虚通乳,,脾虚食少,脾胃湿滞
888,解毒疗伤,,血滞痛经,虫蚊咬伤
889,宽筋活血,,跌打吐血,脾气不升
890,活血破瘀,,胸膈气胀,产后中风
891,宣肺发表,,食积胀痛,四肢疼痛
892,利咽消瘿,,劳伤脱力,阴囊肿大
893,透疹止痒,,忧郁痞闷,产后血瘀
894,清肺泻火,,肿毒疮疡,肢气水肿
895,清热利咽,,腰痛脚弱,气血虚亏
896,消炎解毒,,虚寒喘咳,目赤胀痛
897,益脾除疳,,﻿头晕烦热,斑疹不透
898,渗湿利尿,,热毒疮痈,肺胃出血
899,破瘀定痛,,阳萎精冷,少腹作痛
900,益气延年,,呕逆纳呆,喉痹不通
901,镇痛镇静,,头晕目眩,胃阴虚证
902,驱邪截疟,,血虚风毒,口角生疮
903,清温解热,,腰酸遗精,小便黄赤
904,生肌收敛,,血冷不孕,胬肉遮睛
905,涌吐解毒,,风热眼痛,移于小肠
906,去湿止痛,,疖肿疔疮,小儿疳热
907,养筋接骨,,口苦咽干,肾阳亏损
908,润肤助颜,,咳逆痰多,腰膝软弱
909,收敛杀虫,,湿困胸闷,下肢无力
910,通便止痢,,痈疮疔疖,血痢诸证
911,除风和血,,红崩白带,水呛咳嗽
912,解痉止痛,,肺虚燥咳,痈疽不溃
913,收敛止泻,,气滞腹胀,久病衰弱
914,镇痛祛风,,呕吐食少,疮疡脓肿
915,祛痰解毒,,癫痫惊风,乳癌初起
916,行瘀消肿,,风温滑痛,下肢水肿
917,宽肠消胀,,肾虚阴缩,湿热淋病
918,通络下乳,,虚喘劳嗽,大便不爽
919,行瘀破滞,,痈疮疔肿,七情内伤
920,通经止痛,,内热腹痛,腰膝痿软
921,消肿疗痔,,肺痛吐脓,风湿痹症
922,濡筋续骨,,血瘀疼痛,小儿多动
923,止带缩尿,,烦热口渴,聤耳出脓
924,调经健胃,,腰痛腿软,痔疮肿毒
925,祛风除湿,,气滞胀痛,小便淋涩
926,止血祛瘀,,损伤瘀肿,关节扭伤
927,行气通淋,,咳喘气逆,皮肤干燥
928,消痰软坚,,气虚乏力,胸胁痞气
929,疏风利湿,,气逆喘促,小儿疥疮
930,止咳平喘,,痰湿咳嗽,盯耳出脓
931,健胃行气,,咳逆胸闷,疮痔疼痛
932,凉血降压,,瘀血阻滞,口舌糜烂
933,理气消积,,肺热痰壅,食饮不振
934,化痰镇痉,,痨肺发热,大风癞疮
935,祛风镇静,,跌打挫伤,气血虚弱
936,生肌长肉,,虚热口渴,前裂腺炎
937,补肾利水,,损伤骨析,腰腿劳损
938,和中止呕,,血痢肠风,肝郁不舒
939,消肿散瘀,,痈疽疮疖,恶露不净
940,驱虫解毒,,痰壅气喘,乳汁稀少
941,燥湿化痰,,食少呕吐,局部红肿
942,解毒截疟,,肺虚痨嗽,时行热病
943,疏风定痛,,湿热痧气,小儿吐乳
944,健脾化湿,,遗精白带,牙疳出血
945,益肾补阳,,中暑烦渴,乳汗不行
946,健胃消食,,高热惊厥,疮疖红肿
947,补益气阴,,痰湿积滞,痛疮肿毒
948,散结消肿,,脾虚泻痢,眵多赤烂
949,疗癣生肌,,醉酒烦渴,皮肤风疹
950,催吐解毒,,胸满胁痛,宫颈糜烂
951,除湿杀虫,,利尿心悸,劳力过度
952,祛风理湿,,肺劳咳嗽,中焦湿热
953,补中健脾,,体虚赢弱,麻痘疹毒
954,祛痰开郁,,霍乱转筋,脘腹寒痛
955,散风透疹,,温毒发斑,皮肤游风
956,燥湿止痢,,湿盛脾虚,大头瘟疫
957,息风止痛,,湿热痹痛,呕吐食物
958,祛痰生新,,霍乱痢疾,水谷不消
959,益肾止遗,,心悸盗汗,牙齿浮动
960,杀虫化积,,痈肿疗疮,邪气结块
961,燥湿敛疮,,痈疽疮肿,皮肤疮疡
962,利水渗湿,,热结便秘,焮红肿痛
963,清凉解表,,风湿寒痹,神志昏迷
964,补虚益损,,腹胀纳呆,妊娠下痢
965,敛疮生肌,,惊风癫癎,恶疮肿毒
966,补脾生津,,痼冷腹痛,肺热吐血
967,消痞散结,,痈疖疮肿,乳痈红肿
968,消炎止痛,,阳萎早泄,妇人崩中
969,清热排石,,痰饮积食,肌肤失润
970,凉血息风,,湿热下痢,心腹胀病
971,清热解暑,,毒肿疮疡,肺痨吐血
972,安神宁心,,肠风下血,小便混浊
973,利尿止痛,,耳鸣重听,鱼口便毒
974,清肠消痔,,水肿腹胀,疮痈肿痛
975,疏肝止痛,,咳逆喘满,日哺潮热
976,补肾助阳,,哮喘痰嗽,热积于内
977,续伤接骨,,呕吐热病,月经量多
978,下气止吐,,风热目疾,痈肿丹毒
979,除湿消肿,,热病烦渴,虚劳之症
980,行水消肿,,食积臌胀,腰肋疼痛
981,益肾养髓,,瘤型麻风,久疟不止
982,温补助阳,,胃寒泄泻,脘腹疼痛
983,和中利湿,,湿癣疥癞,脾肾两虚
984,凉血解毒,,白带淋浊,虎火牙痛
985,利咽生津,,肝火头痛,产妇血晕
986,清热利水,,痈肿溃疡,小儿疝气
987,益肾健骨,,鼻渊头痛,脓水淋滔
988,宣肺通鼻,,暑热外感,妊娠胎漏
989,息风定惊,,腹胀食呆,蛇犬咬伤
990,祛风明目,,淋症水肿,刀伤感染
991,祛寒止痛,,肾虚牙痛,寒性胃痛
992,益髓填精,,暑热眩晕,小便短赤
993,活血顺气,,膀胱湿热,胃气不和
994,舒肝止痛,,腹痛便泄,妇人产难
995,解表祛风,,痈疮癣癞,肝胃气痛
996,清咽利喉,,金疮折伤,腰脊酸疼
997,散寒润肺,,赤痢腹痛,形体赢瘦
998,清热利肺,,神疲眩晕,蜘蛛咬伤
999,调中和胃,,肝虚目眩,中虚腹痛
1000,祛风清热,,风热湿疮,眼底出血
1001,去翳明目,,痰粘胸闷,久病体弱
1002,消肿镇痛,,风虚眩晕,精神失常
1003,调气活血,,阳痿阴冷,腰脚冷痹
1004,消肿利喉,,热病蓄血,院腹冷痛
1005,健胃益脾,,久泻玖痢,小儿夜哭
1006,抗癌镇痛,,腹痛腹泻,阴囊湿痒
1007,舒筋散结,,湿热身痒,腹中冷育
1008,固肾止遗,,溃烂流脓,鼻渊脓血
1009,宜肺止咳,,阳痿宫冷,火眼疼痛
1010,祛风止血,,痈疮疔毒,痰涎清薄
1011,健胃和中,,寒湿泻痢,手脚浮肿
1012,补虚下乳,,消渴多饮,泄泻日久
1013,除热止渴,,腹痛积块,两胁作胀
1014,燥湿除热,,头晕腰痛,产伤血痢
1015,接骨止痛,,暴发火眼,阴囊湿肿
1016,补肾平肝,,肺寒久嗽,胸腹气胀
1017,降逆止痛,,气滞脘胀,全草风湿
1018,散结通络,,痘疮血热,瘙痒流汁
1019,宣肺止嗽,,胸闷气短,脚膝痿软
1020,散结活瘀,,风热惊痫,耳后湿疮
1021,疏风止痒,,崩漏带下,伤口出血
1022,固精止带,,暑湿中阻,喉风肿痛
1023,顺气化痰,,胃寒气滞,牙龈溃烂
1024,排脓生肌,,头晕头胀,肝肾专虚
1025,泄热通腑,,麻木瘫痪,身热不解
1026,散瘀解毒,,风热隐痨,腹脘胀满
1027,收湿杀虫,,淋下尿血,腰膝酸软
1028,泄热安神,,燥邪伤肺,食少无力
1029,温经止血,,虚风内动,健忘不寐
1030,止咳祛痰,,痰迷惊痫,瘀血积滞
1031,益肝除黄,,肺热咳嗽,四肢瘫痪
1032,明目去翳,,感冒风寒,惊悸不安
1033,散结止痛,,黄疸便结,麻疹不透
1034,补肾摄精,,风湿疼痛,肝阳上亢
1035,解毒杀虫,,肠风泻血,急慢惊风
1036,去翳止血,,腹痛泻泄,腰腿酸楚
1037,清热退蒸,,肾虚精专,寒嗽为宜
1038,息风止痉,,腹满便秘,小儿疳疮
1039,行血痛经,,疮癣结核,皮肤温痒
1040,舒筋活血,,虚劳赢弱,表气郁闭
1041,利湿消滞,,咏嗽痰喘,四肢无力
1042,养血调经,,虚劳咯血,疮口坚硬
1043,行气消胀,,胞闷腹胀,皮肤热疹
1044,除湿疗疮,,劳嗽咯血,咯痰不爽
1045,和中止痛,,热疖疔疮,食滞胃肠
1046,清热凉血,,痈疽疮疔,瘀血作痛
1047,益精养血,,血燥津枯,多种癌肿
1048,调经解毒,,胃寒呕逆,胸脘胀闷
1049,解热抗疟,,骨痈流脓,肝脾虚弱
1050,镇痛安神,,火眼目赤,形体虚弱
1051,祛风利湿,,消痈肿,肿毒初起
1052,清热止呕,,阴虚劳嗽,慢性肾火
1053,化痰清热,,反胃吐食,寒气腹痛
1054,宽胸开胃,,宫冷不孕,脘腹痞疼
1055,除邪镇惊,,泄痢脓血,关节脱臼
1056,祛瘀生新,,胃热吐血,癌肿出血
1057,补肾益脑,,消渴淋浊,皮肤癣癞
1058,强腰健肾,,暑湿泄泻,嗜酒无度
1059,清热化痰,,热淋涩痛,肝肾亏虚
1060,解表解毒,,脾虚食滞,脘痞不饥
1061,除湿解毒,,湿疹疮疖,脚气痿痹
1062,破血散结,,补脾胃,心风发狂
1063,散瘀消肿,,头昏目眩,宿食癖积
1064,健脾利湿,,虚劳目暗,症积疼痛
1065,止渴除烦,,风湿麻痛,咽干诸证
1066,清热止咳,,暑湿吐泻,脾虚生湿
1067,调胃止泻,,症瘕痃癖,鹅口诸疮
1068,去瘀止痛,,口疮龈肿,溃疡红肿
1069,散毒消肿,,疮疗肿毒,心悸不安
1070,活血排脓,,湿痰流注,溃疡出血
1071,醒酒怡神,,痈疮疗肿,淋巴腺炎
1072,去腐生肌,,肾炎浮肿,视力模糊
1073,镇咳平喘,,跌仆肿痛,胃阴不足
1074,祛内活血,,烦闷多梦,四肢麻痹
1075,祛风解毒,,惊悸怔忡,麻木不仁
1076,调补脾胃,,寒喘咳嗽,尿少色黄
1077,益气生津,,火热毒邪,心胃疼痛
1078,行血调经,,寒湿痿痹,皮毛憔悴
1079,消食化痰,,咳嗽上气,疔疮结核
1080,利水排石,,顽癣疮毒,皮肤疮疥
1081,除臭杀虫,,耳聋耳肿,咳则气短
