Unnamed: 0,Unnamed: 0.1,名称,别名,Taste,Type,Function,Effect,摘自,Unnamed: 9
1027,1027,杜衡,怀、蘅薇香、杜、土卤、楚蘅、杜蘅、土杏、马蹄香、蘹香、杜衡葵、土细辛、钹儿草、杜葵、南细辛、马辛、马蹄细辛、泥里花、土里开花。,温、辛、毒,肺、膀胱、肾、肝,疏风、利水、活血、止痛、消痰、散寒,风寒感冒、痰饮喘咳、水肿、风寒湿痹、跌打损伤、头痛、齿痛、胃痛、痧气腹痛、瘰疬、肿毒、蛇咬伤,中华本草,missing
1028,1028,杜父鱼,四鲶鲈、渡父鱼、舩矴鱼、伏念鱼,温、甘,胃、脾,益气、健脾,脾虚食少、胃脘疼痛、形瘦乏力、大便溏泄、小儿疳积,中华本草,missing
1029,1029,豆油,missing,温、甘、辛,大肠,驱虫、解毒、润肠、通便,肠虫梗阻、大便秘结、疥癣,中华本草,missing
1030,1030,豆叶参,missing,凉、甘,missing,利湿、清热,湿热黄疸、小便色黄涩痛,中华本草,missing
1031,1031,豆麻,麻风草、广西艾麻,温、辛,missing,除湿、化浊、和胃、祛风,风湿痹痛、肢体麻本、胸闷脘痞、腹痛吐泻,中华本草,missing
1032,1032,豆角柴,西南秔子梢。,凉、苦、辛,肺,疏风、清热,风热感冒、发热,中华本草,missing
1033,1033,豆黄,大豆黄。,温、甘,胃、脾,除湿、益气、健脾、祛风,湿痹、关节疹痛、脾虚食少、胃脘妨闷、阴囊湿痒,中华本草,missing
1034,1034,豆腐渣果,missing,missing,missing,安神、止痛,头痛、失眠,中华本草,missing
1035,1035,豆腐渣,雪花菜。,平、苦、甘,心、大肠,凉血、解毒,肠风便血、无名肿毒、疮疡湿烂、臁疮不愈,中华本草,missing
1036,1036,豆腐皮,豆腐衣。,平、甘、淡,肺、胃、脾,解毒、化痰、止痒、清热,肺寒久嗽、自汗、脓疱疮,中华本草,missing
1037,1037,豆腐浆,腐浆、豆浆。,平、甘,肺、大肠,解毒、润燥、清肺、化痰、通便、利尿,虚劳咳嗽、痰火哮喘、肺痈、湿热黄疸、血崩、便血、大便秘结、小便淋浊、食物中毒,中华本草,missing
1038,1038,豆腐泔水,豆腐泔。,凉、苦、淡,心、大肠,解毒、通利二便、敛疮,大便秘结、小便淋涩、臁疮、鹅掌风、恶疮,中华本草,missing
1039,1039,豆腐,missing,凉、甘,大肠、胃、脾,解毒、生津、润燥、益气、泻火种中,目专业人员肿痛、肺热咳嗽、消渴、休息痢、脾虚腹胀,中华本草,missing
1040,1040,豆豉姜,木浆子根、澄茄根、木姜子根、过山香、满山香、山苍子根,温、苦、辛,胃、脾、肝,除湿、止痛、理气、祛风,感冒、心胃冷痛、腹痛吐泻、脚气、孕妇水肿、风湿痹痛、跌打损伤、脑血栓形成,中华本草,missing
1041,1041,豆瓣绿,豆瓣鹿衔草、岩筋草、豆瓣如意草、瓜子鹿衔、瓜子细辛、石上开花、四块瓦、岩豆瓣、豆瓣草、圆叶瓜子菜、石还魂、岩花、石上瓦浆、一柱香、三年草。,温、苦、辛,肺、脾、肝,除湿、活血、化痰、止咳、舒筋、祛风,风湿筋骨痛、跌打损伤、疮疖肿毒、咽喉炎、口腔炎、痢疾、水泻、宿食不消、小儿疳积、劳伤咳嗽、哮喘、百日咳,中华本草,missing
1042,1042,冻青叶,云南冻青叶,凉、苦、涩,肺、心、肾、肝,解毒、止痛、消肿、清热,痄腮、疮毒、水火烫伤、风湿痹痛、跌打骨折,中华本草,missing
1043,1043,冻绿刺,鸭屎树、野苦楝子、洞皮树、山绿柴、黑鸟枝刺、黑旦子、偶栗子、冻绿、冻绿树、老鹳眼。,寒、苦、涩,肺、大肠、胃、脾,消食、祛痰、杀虫、下气,寸白虫、食积、瘰疬、哮喘,中华本草,missing
1044,1044,定心散,定心散莲座蕨,凉、苦,心、胆、肝,安神、消肿、养心、止咳、清热,神经衰弱、精神分裂症、黄疸型肝炎、痄腮、痈肿、蛇咬伤、肺炎、咳嗽、冠心病,中华本草,missing
1045,1045,顶果膜蕨,missing,平、涩,missing,生肌、止血,外伤出血,中华本草,missing
1046,1046,钓樟枝叶,missing,温、辛,missing,敛疮、杀虫、止血、祛风,疥癣痒疮、外伤出血、手足皲裂,中华本草,missing
1047,1047,钓鱼秆,小钧鱼竿、腹水草、见毒消、一串鱼、串鱼草、小串鱼,凉、苦,missing,散瘀、解毒、行水、清热,肺热咳嗽、痢疾、肝炎、水肿、跌打损伤、毒蛇咬伤、烧烫伤,中华本草,missing
1048,1048,钓杆柴,钓鱼竿、黑楂子、杆杆梢,凉、苦、甘、酸,肺、膀胱、脾,利水、消肿、止血、清热,水肿、咳血,中华本草,missing
1049,1049,单头紫菀,喉风草、百条根、牛舌草、打风草、野白菊、一枝香,凉、苦,missing,解毒、止痢、清热,感冒发热、痢疾,中华本草,missing
1050,1050,单条草,星宿菜、灵疾草、金鸡胆、白水花、水硼砂、节节黄,凉、苦,脾、肾,利温、解毒、活血、止痛、消肿、清热,咽喉肿痛、痈肿疮毒、乳痈、毒蛇咬伤、跌打骨折、风湿痹痛、脚气水,中华本草,missing
1051,1051,单面针,刺壳椒、土花椒、三百棒,凉、苦、辛、毒,missing,消食、行气、止痛、助运,脾运不健、厌食腹胀、脘腹气滞作痛,中华本草,missing
1052,1052,单花鸢尾,missing,寒、苦、甘、毒,missing,行水、泻下,水肿、肝硬化腹水、小便不利、大便秘结,中华本草,missing
1053,1053,单花金丝桃,花生草、观音草、双筋草、刘寄奴。,平、苦,missing,活血、化瘀,妇女月经不调、痛经,中华本草,missing
1054,1054,钝叶蔷薇,missing,温、辛,心、肝,清热解毒、活血止痛,月经不调，风湿痹痛，疮疡肿痛,中华本草,missing
1055,1055,钝叶草,薏米草、鸭口草,平、甘,胃、肝,益气、催产,胃下垂、子宫脱垂、习惯性流产、难产,中华本草,missing
1056,1056,钝齿铃子香,missing,温、辛,missing,散寒、通络、疏风,风寒感冒、风寒湿痹,中华本草,missing
1057,1057,盾叶莓,天青地白扭,温、咸、酸,肾,强腰健肾、祛风止痛,四肢关节疼痛，腰脊酸痛,中华本草,missing
1058,1058,独一味,巴拉努努、吉布孜、麦朵昌巴、哈努巴拉、札江温保、哈吾巴拉、达干木、达折合巴、野秦艽、大巴、打布巴,平、苦、甘,missing,活血、止痛、消肿、化瘀,跌打、筋骨疼痛、关节肿痛、痛经、崩漏,中华本草,missing
1059,1059,独叶一枝花,雨流星草、肾子草、扇唇舌喙兰、鸡肾参、独叶参、单肾参、一面锣、落地还阳、鸡蛋参、独叶一枝枪,平、苦、甘,肺,滋阴、润肺、补虚、止血,肺热燥咳、痨嗽、虚损劳伤、虚热、盗汗、肾虚腰痛、外伤出血,中华本草,missing
1060,1060,独行千里,扣钮子、落地金鸡、独虎龙、勒儿根、下洞底、落杆薯、黑皮蛇、尖破石。,温、苦、涩、毒,心、胃,散瘀、活血、止痛、祛风,跌打瘀肿、闭经、风湿痹痛、咽喉肿痛、牙痛、腹痛,中华本草,missing
1061,1061,独脚乌桕,山番薯、土大黄、独脚乌扣、山葫芦、粉藤头、粉藤薯、块根山鸡蛋、粉藤蛋。,凉、苦、辛,心、肾,解毒、通络、散结、活血、消痈、化痰,跌打损伤、风湿痹痛、瘰疬痰核、痈肿疮毒、毒蛇咬伤,中华本草,missing
1062,1062,独脚蟾蜍,金线吊蛤蟆、石蟾蜍。,寒、苦、毒,missing,解毒、散结、化痰、清热,热病头痛、胃痛、痢疾、痈肿、痰核,中华本草,missing
1063,1063,独椒,missing,温、辛、毒,胃、肾,除湿、散寒、祛风,牙龈肿痛，肾虚阴缩,中华本草,missing
1064,1064,独活,胡王使者、独摇草、独滑、长生草、川独活、肉独活、资历邱独活、巴东独活、香独活、绩独活、大活、山大活、玉活,苦、辛,膀胱、肾,胜湿、止痛、散寒、祛风,风寒湿痹、腰膝疼痛、头痛齿痛,中华本草,missing
1065,1065,毒鱼藤,白药根、雷公藤蹄。,平、苦、毒,脾,解毒、杀虫,疮毒、皮炎、皮肤湿疹、跌打肿痛、关节疼痛,中华本草,missing
1066,1066,毒芹根,missing,温、甘、辛、毒,missing,祛瘀、止痛、拔毒,急、慢性骨髓炎、痛风、风湿痛,中华本草,missing
1067,1067,胆木,山熊胆、熊胆树、药乌檀、黄胆木、黄心木、树黄柏,寒、苦,肺、大肠、膀胱、胆,解毒、止痛、消肿、清热,感冒发热、支气管炎、肺炎、急性扁桃体炎、咽喉炎、乳腺炎、肠炎、菌痢、尿路感染、胆囊炎、下肢溃疡、脚癣感染、疖肿脓疡、皮炎湿疹,中华本草,missing
1068,1068,胆矾,石胆、毕石、君石、黑石、铜勒、立制石、石液、基石、制石液、胆子矾、鸭嘴胆矾、翠胆矾、蓝矾,寒、辛、酸、毒,胆、肝,去腐、解毒、涌吐,中风、癫痫、喉痹、喉风、痰涎壅塞、牙疳、口疮、烂弦风眼、痔疮、肿毒,中华本草,missing
1069,1069,玳瑁,瑇琩、瑇琩甲、明玳瑁、文甲,寒、咸、甘,心、肝,解毒、定惊、平肝、清热,热病高热、神昏谵语抽搐、小儿惊痫、眩晕、心烦失眠、痈肿疮毒,中华本草,missing
1070,1070,玳玳花,枳壳花、玳玳花、酸橙花。,平、苦、甘、辛,missing,宽胸、和胃、理气、止呕,胸中痞闷、脘腹胀痛、不思饮食、恶心呕吐,中华本草,missing
1071,1071,带鱼,鞭鱼、带柳、裙带鱼、海刀鱼、鳞刀鱼、白带鱼,平、甘,胃,止血、解毒、补虚,病后体虚、产后乳汁不足、疮疖痈肿、外伤出血,中华本草,missing
1072,1072,带叶报春花,报春花、藏报春花,寒、苦,missing,泻火、泻肝、清湿热,小儿高热抽风、湿热泻痢,中华本草,missing
1073,1073,都咸子树皮,missing,平、淡、毒,missing,截疟,疟疾,中华本草,missing
1074,1074,都拉,都拉参、肚拉、土败酱、对对参、萝卜参、白都拉、鸡大腿、一支蒿、萝卜肚拉、土洋参、双香,温、苦、甘,肺、脾、肾,温肾、活血、益气、止血,体虚头昏、虚劳久咳、脾虚食积、肾虚腰痛、带下、阳痿、不孕、风湿性心脏病、外伤出血,中华本草,missing
1075,1075,调羹树,missing,凉、涩、淡、毒,missing,解毒、清热,腮腺炎、皮炎,中华本草,missing
1076,1076,倒水莲,金鸡尾,寒、苦,大肠、肝,截疟、燥湿、明目、清肝、清热,主治湿热黄疸，腹痛泻痢、目赤肿痛、疟疾寒热,中华本草,missing
1077,1077,倒生根,大乌泡根,平、苦、涩、毒,肾、肝,活血止血、祛风除湿,跌打损伤，骨折，月经不调，吐血，衄血，风湿痹痛，水肿，小便不利，瘰疬,中华本草,missing
1078,1078,倒卵叶五加,老虎刺、蛇不过、倒刨牛、母猪刺,温、苦、甘,missing,宁心、活络、益气、舒筋、健脾、补肾,体虚乏力、食欲不振、腰膝酸软、阳痿、失眠多梦、健忘、风寒湿痹,中华本草,missing
1079,1079,倒罐子根,missing,平、甘,missing,止血、解毒,咯血、痢疾、咽喉痛,中华本草,missing
1080,1080,倒挂牛,大牛昂、牛王刺,热、涩、毒,肺、肾、肝,解表发汗、化瘀止痛,伤风感冒，头痛，筋骨疼痛，跌打损伤，酒皶鼻,中华本草,missing
1081,1081,倒挂草,missing,平、苦,missing,止血、解毒、清热,肝炎、痢疾、外伤出血、蜈蚣咬伤,中华本草,missing
1082,1082,倒根蓼,白山拳参、重楼、草河车、倒根草,寒、苦、毒,missing,解毒、凉血、化痰、止咳、止血、清热,咳嗽痰多、痢疾、腹泻、痈疮肿毒、牙龈肿痛、口糜、崩漏、痔疮出血,中华本草,missing
1083,1083,倒吊蜡烛,墨柱果、章表、常子、九浓木、枝桐木、猪松木、神仙蜡烛、刀柄、苦常、细姑木、马凌、猪菜母、苦杨,平、甘、淡,missing,通络、散结、利湿、化痰、祛风,风湿痹痛、腰膝疼痛、跌打损伤、瘰疬、慢性支气管炎、黄疸型肝炎，肝硬化腹水,中华本草,missing
1084,1084,倒触伞,蔷薇莓、空心藨、七叶饭消扭、空筒泡、白花暗洞、三月莓、五月泡、三月泡、白花三月泡、划船泡、龙船泡,平、苦、涩、辛,肺、肝,收敛止血、解毒、接骨、止咳、清热,肺热咳嗽，小儿百日咳，咯血，小儿惊风，月经不调，痢疾，跌打损伤，外伤出血，烧烫伤,中华本草,missing
1085,1085,倒赤伞,大叶一支箭、刀口药、白胡子狼毒,温、苦、辛,missing,活血、消肿、散寒、祛风,风寒感冒、头痛、腰痛、肠火、痢疾、跌打瘀肿、外伤出血、中耳炎、乳腺炎,中华本草,missing
1086,1086,断血流,大叶香薷、荫风轮、山藿香、瘦风轮、九层塔、野薄荷、田螺菜、蒙锄草、多头风轮菜,凉、苦、辛,missing,解毒、凉血、活血、清热,风热感冒、咳嗽、目赤肿痛、咽喉肿痛、白喉、腹痛痢疾、吐血、咯血、尿血、崩漏、外伤出血、肝炎、胆囊炎、窄肋、胃痛、关节疼痛、疮疡肿、毒蛇咬伤、湿疹、痔疮、跌打肿痛,中华本草,missing
1087,1087,断节参,对节参、青洋参,温、苦、甘,肾、肝,强筋骨、补肝肾,肾虚腰痛、足膝无力、跌打损任、骨折、狂犬咬伤,中华本草,missing
1088,1088,淡竹叶,竹叶门冬青、迷身草、山鸡米、金竹叶、长竹叶、山冬、地竹、淡竹米、林下竹,寒、甘、淡,missing,利尿、除烦、清热,烦热口渴、口舌生疮、牙龈肿痛、小儿惊啼、小便赤涩、淋浊,中华本草,missing
1089,1089,淡花当药,獐牙菜、加达、当药、水黄连,寒、苦,大肠、胃、肝,解毒、利湿、健胃、清热,骨髓炎、咽喉炎、扁机体炎、结膜炎、肝炎、消化不良、痢疾、疮痈疥癣、毒蛇咬伤,中华本草,missing
1090,1090,弹裂碎米荠,水菜花、水花菜。,平、淡,missing,调经、解毒、活血、利尿、通淋、清热,妇女月经不调、痈肿、淋证,中华本草,missing
1091,1091,敦盛草,敦朴江区,温、苦、毒,膀胱、肾,活血、止痛、消肿、利尿,下肢水肿、淋症、白带、风湿痹痛、跌打损伤,中华本草,missing
1092,1092,短小蛇根草,荷包草、金锁匙、鸡冠草、白丁香、向日癀、金铃仔草、乌枪头、山苋菜、小蛇根草,寒、苦,missing,解毒、清热,感冒发热、咳嗽、痈疽肿毒、毒蛇咬伤,中华本草,missing
1093,1093,短蕊万寿竹,百味参、百尾笋,凉、苦、甘,missing,润肺、养阴、止咳、止血,阴虚咳嗽、痰中带血,中华本草,missing
1094,1094,短毛熊巴掌,野虎耳草、猪婆耳、豆角消、虎耳、叶红、猫耳朵、熊巴耳,寒、苦,missing,解毒、消肿、燥湿、清热,湿热泻痢、带下、阴囊肿大、中耳炎、月经不调、崩漏,中华本草,missing
1095,1095,短齿楼梯草,missing,凉、苦、辛,missing,祛风湿、散瘀肿、解热毒,风湿热痹、目赤肿痛、黄疸、跌打骨折,中华本草,missing
1096,1096,短柄五加,missing,missing,missing,安神、解郁、益气、养心、和血、健脾,妇女更年期体虚乏力、潮热、失眠、抑郁不欢、健忘、心悸、头晕、头痛、关节痛,中华本草,missing
1097,1097,短柄南蛇藤茎叶,missing,平、苦、辛、毒,missing,除湿、解毒、活血、消肿、止血、祛风,风湿痹痛、跌打损伤、脘腹痛、牙痛、疝气痛、月经不调、经闭、血崩、肌衄、疮肿、带状疱疹、湿疹,中华本草,missing
1098,1098,短柄南蛇藤果,missing,missing,missing,安神、宁心,失眠、多梦,中华本草,missing
1099,1099,短柄枹栎虫瘿,青杠转,missing,missing,健脾胃、解毒、利尿,胃痛、小便淋涩,中华本草,missing
1100,1100,短瓣女娄菜,兴安女娄菜,凉、淡,missing,解毒、平肝、利湿、清热,湿热黄疸、咽喉肿痛、中耳炎、眩晕耳鸣,中华本草,missing
1101,1101,董棕粉,missing,平、涩、甘,missing,止泻、健脾,消化不良、腹痛腹泻、痢疾,中华本草,missing
1102,1102,跌破勒,小角刺、铁梨木、凿子树,寒、苦、涩,missing,祛瘀、催乳、活血、利湿、止痛、消肿、清热,黄疸、水肿、跌打损伤、骨折、经闭、痈肿疮毒、乳汁不通、疮癣、瘰疬,中华本草,missing
1103,1103,跌打老,过山风、五指青、铁打王、大五托、川掌莲、五叉虎、牛拉力,温、苦、辛,肺、肝,通络、活血、止痛、消肿、祛风,风湿性关节炎、腰腿痛、四肢麻痹、痛经、跌打肿痛,中华本草,missing
1104,1104,跌打草,细穗爵床、盗偷草,平、辛,missing,散瘀、接骨、消肿、止血,跌打肿痛、骨折、外伤出血,中华本草,missing
1105,1105,棣棠花,画眉杠、鸡蛋花、三月花、青通花、通花条、地棠、黄度梅、金棣棠、黄榆叶梅、麻叶棣棠、地团花、金钱花、蜂棠花、小通花、清明花、金旦子花。,平、苦、涩,肺、胃、脾,解毒、化痰、消肿、利尿、止咳,咳嗽，风湿痹痛，产后劳伤痛，水肿，小便不利，消化不良，痈疽肿毒，湿疹，荨麻疹,中华本草,missing
1106,1106,椴树根,叶上果根、滚筒树根、家鹤儿。,温、苦,missing,除湿、活血、止痛、止咳、祛风,风湿痹痛、四肢麻木、跌打损伤、久咳,中华本草,missing
1107,1107,滇绣球,云南绣球、通花常山、常山。,凉、辛、毒,心、胃、脾,消食、燥湿、健胃、清热,主治乳腺炎，癣疮，消化不良，疟疾,中华本草,missing
1108,1108,滇五味,missing,温、甘、酸,肺、心、肾,宁心、固涩、益气、收敛、生津、补肾,久嗽虚喘、梦遗滑精、遗尿尿频、久泻不止、自汗、盗汗、津伤口渴、短气脉虚、内热消渴、心悸失眠,中华本草,missing
1109,1109,滇肉棒,missing,平、甘,missing,止血,外伤出血,中华本草,missing
1110,1110,滇南千里光,松筋藤,温、苦、辛,missing,除湿、通络、舒筋、祛风,风湿痹痛、关节屈伸不利、小儿麻痹症后遗症、跌打损伤,中华本草,missing
1111,1111,滇南美登木,missing,凉、苦,missing,解毒、凉血、止痛、化瘀,胃溃疡、十二指肠溃疡、多发性骨髓瘤、淋巴肉瘤、腹膜间皮肉瘤,中华本草,missing
1112,1112,滇南寄生,missing,平、苦、甘,missing,强筋骨、安胎、祛风湿、补肝肾,腰膝酸痛、中风偏瘫、手足麻木、胎动不安、胎漏,中华本草,missing
1113,1113,滇南冠唇花,野藿香、香薷、藿香,温、辛,missing,和中、解暑、化湿、发表,风寒感冒、咳喘气急、夏月感寒饮冷、头痛胸闷、腹痛吐泻,中华本草,missing
1114,1114,滇绿豆,missing,平、淡,肾,消肿、利尿,小便不利、面目浮肿,中华本草,missing
1115,1115,滇列当,missing,温、甘,missing,强筋骨、补肝肾,肢体瘦弱、小儿麻痹后逞症、肾虚阳痿、贵精,中华本草,missing
1116,1116,滇鸡骨常山,红辣树、白虎木、野辣椒、三台高、野辣子、永固生、红花岩托、四角枫,寒、苦、毒,肺、肝,解毒、消肿、止血、截疟、清热,疟疾、感冒发热、肺热咳嗽、咽喉肿痛、口舌生疮、痈肿疮毒、跌打损伤、外伤出血,中华本草,missing
1117,1117,滇海水仙花,大报春花、水白菜、大癞痢,平、苦、辛,missing,散瘀、接骨,跌打骨折、外伤红肿,中华本草,missing
1118,1118,滇藁本,黑藁本,温、苦、辛,missing,除湿、杀虫、止痒、祛风,感冒夹湿、头痛、风湿痹痛、泄泻、妇女阴道痒痛、疥癣,中华本草,missing
1119,1119,滇丹参,丹参、小丹参、紫丹参、小红参、小红草乌、小红丹参、山槟榔、云南丹参、石山丹参,寒、苦、甘,心、肝,祛瘀、安神、解毒、活血、凉血、消肿、养心、止血,月经不调、痛经、经闭、恶露腹痛、胸痹绞痛、关节痛、疝痛、崩漏、吐血、衄血、咳血、血虚肢麻、失眠、健忘、惊悸、怔忡、乳痈、疮肿、跌打瘀肿,中华本草,missing
1120,1120,滇池海棠,云南海棠、云南山楂,温、甘、酸,胃、脾、肝,行瘀定痛、健胃消积,饮食停滞，脘腹胀痛，痢疾，泄泻，疝气，产妇儿枕作痛,中华本草,missing
1121,1121,滇常山花,乌药花,温、苦,missing,止血、止带,崩漏、带下,中华本草,missing
1122,1122,滇常山,乌药、臭牡丹、臭茉莉、大臭牡丹、矮桐子、滇赬桐,温、苦、辛,肺、膀胱,利湿、行气、祛风,风湿痹痛、水肿尿少、胞腹胀痛,中华本草,missing
1123,1123,滇白芷果,土蛇床子,温、苦、辛,missing,燥湿、止痒、祛风,风疹、湿疹、阴痒带下,中华本草,missing
1124,1124,滇白药子,白药子、马蹄细辛、毛狗苔、毛芋头,平、苦、甘,肺、肾,益肾、敛肺、解毒、消肿、止咳、补脾,脾虚便溏、肾虚阳痿、遗精、白带、虚劳久咳、缺乳、无名肿毒,中华本草,missing
1125,1125,端哼,missing,平、涩、淡、毒,missing,散瘀、生肌、解毒、活血、愈溃、清热,妇人乳房肿痛、乳汁分泌不畅、颊颈炎症肿庸、疮疡肿疖、溃疡久不收口、跌打损伤,中华本草,missing
1126,1126,滴血根,小血藤、接骨草、女金丹,温、甘,missing,养血、通络、补肾,肾虚腰痛、气血虚弱、跌打损伤,中华本草,missing
1127,1127,滴水珠,水半夏、深山半夏、石半夏、独叶一枝花、一粒珠、石里开、一滴珠、水滴珠岩芋、天灵芋、岩珠、蛇珠、独龙珠、单叶半夏、制蛇子、心叶半夏、石蜘蛛、地金莲、夏无影、岩隙子,温、辛、毒,肝,散瘀、解毒、止痛、消肿,毒蛇咬伤、乳痈、肿毒、深部脓肿、瘰疬、头痛、胃痛、腰痛、跌打损伤,中华本草,missing
1128,1128,蝶毛菌,missing,missing,missing,除湿、生肌、清肺、止咳、祛腐、祛风,风湿疼痛、肺热咳嗽、疮疡脓肿,中华本草,missing
1129,1129,蝶兰,小接筋藤、金环草、缩筋草、分筋草,温、苦、辛,missing,解表、疏风、活络、接骨、止痛、舒筋,感冒发热、头痛、风湿痹痛、跌打损伤、骨折,中华本草,missing
1130,1130,稻谷芒,稻稳、谷颖,missing,missing,利湿、退黄,黄疸,中华本草,missing
1131,1131,澄茄子,山胡椒、味辣子、山苍子、木姜子、木香子、野胡椒、臭樟子,温、苦、辛,胃、脾、肾,平喘、温中、行气、活血、止痛、利尿,脘腹冷痛、食积气胀、反胃呕吐、中暑吐泻、泄泻痢疾、寒疝腹痛、哮喘、寒湿水臌、小便不利、小便浑浊、疮疡肿毒、牙痛、寒湿痹痛、跌打损伤,中华本草,missing
1132,1132,雕骨,鹑、鹫、洁白雕、红头雕、鹫雕,温、咸、甘,肾,活血、止痛,跌扑骨折,中华本草,missing
1133,1133,颠茄草,美女草、别拉多娜草,missing,missing,解痉、止痛、抑制分泌,胃及十二指溃疡、胃肠道、肾、胆绞痛、呕恶、盗汗、流涎,中华本草,missing
1134,1134,戴星草,missing,凉、苦,missing,健胃、止痛、利尿,消化不良、胃痛、小便不利,中华本草,missing
1135,1135,二叶舞鹤草,missing,寒、酸,肝,解毒、凉血、止血、清热,吐血、尿血、月经过多、外伤出血、疮痈肿痛,中华本草,missing
1136,1136,二仙桃,绿蟾蜍花、绿叶绿花、仙鹅抱蛋、水竹花,温、苦、辛,missing,除湿、解毒、消肿、祛风,疮疡肿毒、风寒湿痹、白带、腰痛、咳嗽,中华本草,missing
1137,1137,二歧根莲花根,土黄芩、草玉梅,寒、苦,missing,解毒、活血、舒筋、清热,跌打损伤、风湿性关节炎、痢疾、疮痈,中华本草,missing
1138,1138,二郎剑,见血草,凉、苦、酸,missing,散瘀、平喘、止咳、清热,跌打损伤、血瘀肿痛、毒蛇咬伤、肺热咳嗽、哮喘,中华本草,missing
1139,1139,耳叶排草,二郎箭,平、苦、涩,missing,止血、血消肿,跌打损伤、外伤出血,中华本草,missing
1140,1140,耳水苋,金桃仔、大仙桃草,平、甘、淡,膀胱、脾,散瘀、行气、利湿、健脾,脾虚厌食、胸膈满闷、急慢性膀胱炎、妇女带下、跌打瘀肿作痛,中华本草,missing
1141,1141,耳草,较剪草、鲫鱼胆草、山过路蜈蚣、蜈蚣草、行路蜈蚣、节节花、鲫鱼草、龙胆草、苦胆草、节节白花、细叶假红兰、散血草、黑头草、荞糕草、野甘草,凉、苦,missing,解毒、凉血、消肿、清热,感冒发热、肺热咳嗽、咽喉肿痛、肠炎、痢疾、痔疮出血、崩漏、毒蛇咬伤、乳腺炎、痈疖肿毒、湿疹、跌打损伤,中华本草,missing
1142,1142,饿蚂蝗,细风带、山角豆、红掌草、山豆根、烂豆树、大红袍、山蚂蟥、粘身草、胃痛草、吊马花、紫藤小槐花、野黄豆,凉、苦、甘,肺、胃、胆、肝,活血止痛、解毒消肿,脘腹疼痛，小儿疳积，妇女干血痨，腰扭伤，创伤，尿道炎，腮腺炎，毒蛇咬伤,中华本草,missing
1143,1143,莪术,蓬莪茂、蓬药、蓬莪术、广茂、蓬术、青姜、羌七、广术、黑心姜、文术。,温、苦、辛,脾、肝,消积、破血、行气、止痛,血气心痛、饮食积滞、脘腹胀痛、血滞经闭、痛经、症瘕瘤痞块、跌打损伤,中华本草,missing
1144,1144,峨山雪莲花,missing,凉、苦,missing,利湿、清热,小便淋涩疼痛、白浊、白带,中华本草,missing
1145,1145,峨山草乌,missing,温、苦、辛、毒,肺,祛风除湿、消肿解毒、通络止痛,主治风湿筋骨疼痛，胃痛，跌打损伤肿痛，涌疮，癣癞，痔疮,中华本草,missing
1146,1146,峨屏草,峨眉岩雪下,寒、咸,肝,熄风、清热,高热惊厥，惊痫抽搐,中华本草,missing
1147,1147,峨眉紫金牛,红豆子、点抵改房、两逊,寒、苦、辛,missing,祛风湿、止痛、解热毒,风湿痹痛、咽喉肿痛、牙痛、胃痛、跌打骨折、淋巴结肿大,中华本草,missing
1148,1148,峨眉香科,峨眉石蚕、野菸,寒、苦,missing,解毒、清热,疮疖红肿、毒蛇咬伤,中华本草,missing
1149,1149,峨眉石凤丹,一枝花、石凤丹、随身丹、小瓢儿菜,寒、苦,missing,解毒、散结、利小便、清热,瘰疬、小便不利、水肿,中华本草,missing
1150,1150,峨眉蕨贯众,贯众,寒、苦、涩,missing,解毒、杀虫、止血、清热,痢疾、蛔虫病、蛲虫病、绦虫病、崩漏、便血、流感,中华本草,missing
1151,1151,峨眉半边莲,观音莲、半边莲、峨眉莲座蕨,凉、苦、淡,心,解毒、除风湿、利小便、止咳嗽、清热,风湿骨痛、肺病热咳、腮腺炎、小便不利、血痢、痈肿热毒、蛇咬伤、肺热咳嗽,中华本草,missing
1152,1152,峨参叶,missing,平、甘、辛,missing,止血、消肿,创伤出血、肿痛,中华本草,missing
1153,1153,峨参,田七、金山田七、土白芷、广三七、胡萝卜七、南田七、水田七、土当归、土田七,温、甘、辛,missing,活血、止痛、益气、健脾,脾虚腹胀，乏力食少，肺虚咳嗽、体虚自汗、老人夜尿频数、气虚水肿、劳伤腰痛、头痛、痛经、跌打瘀肿,中华本草,missing
1154,1154,鄂西天胡荽,missing,凉、苦,missing,解毒、活血、利湿、清热,湿热黄疸、痢疾、热淋、石林、口疮、耳痈、跌打损伤,中华本草,missing
1155,1155,鄂报春,missing,凉、苦,胃、脾,止腹痛、解酒毒,嗜酒无度、酒毒伤脾、腹痛便泄,中华本草,missing
1156,1156,鹅血,missing,平、咸,心、胃、肝,散血、解毒、消坚,噎膈反胃、药物中毒,中华本草,missing
1157,1157,鹅涎,missing,平、咸,肺,消肿、软坚,麦芒或鱼刺鲠喉、鹅口疮,中华本草,missing
1158,1158,鹅腿骨,missing,平、甘,肾、肝,解毒、消肿,狂犬咬伤,中华本草,missing
1159,1159,鹅首马先蒿,missing,温、涩、甘,missing,利水、消肿、益阴、用不着喘,水肿、尿少、气喘、营养不良,中华本草,missing
1160,1160,鹅绒藤,羊奶角角、牛皮消、软毛牛皮消、祖马花、趋姐姐叶、老牛肿,凉、甘,肝,解毒、化瘀,寻常性疣,中华本草,missing
