Name,Label,Other_Name,Taste,Type,Effect,Treat
疔毒草,1,亚尔母堂,苦、寒,心、胆、脾、肝,清热、解毒、利湿、消肿,"['疔疮肿毒', '麻疹热毒', '肺炎', '胸膜炎', '淋浊', '白带', '肾炎']"
棕树心,1,0,苦、涩、平,心、脾,养心、安神、收敛、止血,"['心悸', '头昏', '崩漏', '脱肛', '子宫脱垂']"
紫金标,1,红花紫金标、九节莲、对节兰、蓝花岩陀、风湿草、小蓝雪、攀倒甑岩五姜、东南菊,辛、苦、温,脾、心,祛风湿、通经络、止痛,"['风湿麻木', '脘腹胁痛', '跌打损伤', '骨折', '脉管炎', '腮腺炎']"
东方蝾螈,1,四足鱼；四脚鱼；水龙,甘、苦、寒,肺、心、脾,消积、化滞、清热、解毒,"['小儿疳积', '烧烫伤', '皮肤痒疹']"
吐烟花,1,吐烟草,甘、微涩、凉,肝、心、脾,清热、利湿、宁心、安神,"['湿热黄疽', '腹水', '失眠', '健忘', '过敏性皮炎', '下肢溃疡', '疮疖肿毒']"
对马耳蕨,1,小叶金鸡尾巴草、毛脚鸡、蕨萁、线鸡尾,苦、寒、凉,心、脾,清热、解毒、凉血、散瘀,"['痢疾', '目赤肿痛', '乳痈', '疮疖肿毒', '痔疮出血', '烫火伤']"
扶桑花,1,花上花、大红花、土红花、大红牡丹花、吊钟花、吊丝红花、木花、朋红、公鸡花、佛桑花、贼头花、紫花兰、状元红,甘、寒,心、肺、肝、脾,清肺、化痰、凉血、解毒,"['痰火咳嗽', '鼻衄', '痢疾', '赤白浊', '痈肿', '毒疮']"
旋鸡尾,1,线鸡尾、七星草、剑刀草、剑刀蕨、连贴草、七星剑、毛连草、七星凤尾草、金鸡尾、石扁担、大叶金星、金星剑、大号七星剑、牛舌黄、斩蛇剑、连天草、铁包金、大经刀草、大石韦、龙舌草,苦、寒,肝、脾、心、肺,清热、解毒、利湿,"['黄疸', '淋浊', '高热', '烧烫伤']"
小麦,1,来、麳,甘、凉,心、脾、肾,养心、益肾、除热、止渴,"['脏躁', '烦热', '消渴', '泄利', '痈肿', '外伤出血', '烫伤']"
小柳拐,1,山救驾、牛虱子、败火草,苦、涩、辛、寒,心、脾,清热、解毒、散瘀、消食,"['咽喉肿痛', '疮疡肿毒', '跌打损伤', '烫伤', '刀伤', '食积腹胀']"
甘草梢,1,0,甘、寒,心、肝、脾,清火、解毒,['阴茎中疼痛及淋浊']
虾蟆,1,蛙黾、蝈、蟹蟆、土蛙、蟆、蛤、蛤蟆,甘、寒,心、脾,清热、解毒、健脾、消积,"['痈肿', '热疖', '口疮', '瘰疬', '泻痢', '疳积']"
武靴藤,1,断肠苦蔓、小羊角扭、小羊角木、羊角藤、金刚藤、蛇天角、饭杓藤、武也藤、心胀黄、细叶羊角扭,平、苦,心、肝、脾,清热、凉血、排脓、消肿、止痛、生肌,"['风湿痹痛', '咽喉肿痛', '瘰疬', '乳痈', '疮疖', '湿疹', '无名肿毒', '毒蛇咬伤']"
佛甲草,1,火烧草、火焰草、佛指甲、半支连、狗牙半支、铁指甲、禾雀舌、禾雀蜊、万年草、午时花、小叶刀掀草、金枪药、狗牙瓣、小佛指甲、尖叶佛甲草、枉开口、鼠牙半枝莲、猪牙齿、土三七、养鸡草、龙水草、回生草、尖叶佛甲单、关叶小石指甲,甘、寒,心、肺、肝、脾,清热、消肿、解毒,"['咽喉肿痛', '痈肿', '疔疮', '丹毒', '烫伤', '蛇咬伤', '黄疸', '痢疾']"
树葱,1,石葱、蜈蚣草、毛兰、岩葱,苦、凉,肺、心,活血、散瘀、清热、解毒,"['跌打损伤', '骨折', '痈疮疖肿', '汤火伤']"
风花菜,1,蔊菜、叶香,苦、辛、凉,心、肝、肺,清热、利尿、解毒、消肿,"['黄疸', '水肿', '淋病', '咽痛', '痈肿', '汤火伤']"
芙蓉根,1,0,辛、微苦、凉,心、肺、肝,清热、解毒、凉血、消肿,"['痈疽肿毒初起', '臁疮', '目赤肿痛', '肺痈', '咳喘', '赤白痢疾', '妇人白带', '肾盂肾炎']"
梅花冰片,1,龙脑、龙脑香、脑子、冰片、片脑、冰片脑、梅花脑、天然冰片、老梅片、梅片,辛、苦、凉,心、肺,开窍、醒神、散热、止痛、明目、去翳,"['中风口噤', '热病神昏', '惊痫痰迷', '气闭耳聋', '目赤翳膜', '喉痹', '口疮', '痈肿', '痔疮', '蛲虫病']"
毛女贞,1,山万年青、蚊子木、岩白蜡、蜡树、细木南、回嚼、苦丁茶、苦味散、冬青,苦、寒,心、肺,泻火、解毒,"['咽喉炎', '口腔炎', '痈肿疮毒', '跌打损伤', '烫伤']"
西瓜,1,寒瓜、天生白虎汤,甘、寒,心、胃、膀胱,清热、除烦、解暑、生津、利尿,"['暑热烦渴', '热盛津伤', '小便不利', '喉痹', '口疮']"
西瓜皮,1,西瓜翠、西瓜翠衣、碎秋、西瓜青,甘、淡、寒,心、胃,清热、解渴、利尿,"['暑热烦渴', '小便短少', '水肿', '口舌生疮']"
马鬃,1,马髻毛、马牦、马鬐毛、马毛,涩、平,心、肺,止血、止带、解毒、敛疮,"['崩漏', '带下', '痈疮']"
马牙七,1,九子莲[陕西太白山]、大仙茅、九子连、背脊七,辛、苦、凉,心、肺,清热、解毒、散瘀、止痛,"['咽喉肿痛', '牙痛', '脘腹疼痛', '腰痛', '关节痛', '跌打损伤', '瘰疬疮疡', '毒蛇咬伤']"
马蹄蕨,1,马蹄树、观音座莲、地莲花、牛蹄劳、马蹄香、马蹄附子、观音莲、马蹄莲、马蹄风、山羊蹄、福建莲座蕨、山猪肝、大凤尾、牛脚迹、羊蹄甲、渡饥草,淡、凉,心、肺,祛风、清热、解毒,"['风热咳嗽', '痄腮', '痈肿疮毒', '蛇咬伤', '功能性子宫出血']"
马桑叶,1,马桑、醉鱼草、鱼尾草、扶桑、闹鱼儿、蛤蟆树、上天梯、蓝蛇风,辛、苦、寒,心、肺,治痈疽、肿毒,"['疥癞', '黄水疮', '烫伤']"
马甲子根,1,竻子、雄虎刺、石刺木、鸟刺仔、白棘、仙姑簕、马甲枣、铁理风、铁菱角,苦、平,心、肺,祛风、散瘀、解毒、消肿,"['风湿痹痛', '跌打损伤', '咽喉肿痛', '痈疽']"
马蛋果,1,沙梨果树木瓜,辛、热,肺、心、肝,祛风、除湿、解毒,"['麻风病', '象皮病', '皮肤病']"
麻叶绣球,1,碎米丫、山茴香、碎米桠,辛、微温,肺、心、肝,0,"['咽喉肿痛', '跌打内伤', '白带', '疮毒']"
骆驼蓬,1,苦苦菜、骆驼蒿、臭草、臭牡丹、沙蓬豆豆、阿地热斯忙、乌姆希-乌布斯、臭古都、老哇瓜,辛、苦、凉,心、肝、肺,宣肺气、祛风湿、消肿毒,"['咳嗽气短', '风湿痹痛', '皮肤瘙痒', '无名肿毒']"
仙人掌,1,仙巴掌、霸王树、火焰、火掌、玉芙蓉、风尾竻、龙舌、平虑草、老鸦舌、神仙掌、霸王、观音掌、观音刺、凤尾簕、灿巴掌、刺巴掌、番花、麒麟花、佛手刺、避火簪,苦、凉,心、肺、胃,行气、活血、清热、解毒,"['心胃气痛', '痞块', '痢疾', '痔血', '咳嗽', '喉痛', '肺痈', '乳痈', '疔疮', '汤火伤', '蛇伤']"
芦茎,1,苇茎、嫩芦梗,甘、寒,心、肺,肺痈、烦热,['肺痈烦热（性味以下出《纲目》）']
龙涎香,1,龙泄、龙涎、龙腹香、鲸涎香、龙尿、龙漦、抹香鲸、真甲鲸、巨头鲸,甘、酸,心、肝、肺、肾,开窍、化痰、活血、利气,"['神昏气闷', '心腹诸痛', '消散症结', '咳喘气逆']"
秘鲁香胶,1,拔尔撒摩、百露拔尔撒摩、秘鲁香、秘鲁香脂,苦、辛、平,心、肺、肝,目咳、祛痰、解毒、杀虫,"['慢性支气管炎', '咳嗽痰多', '痘疹', '湿疹', '皮肤伤损', '疮疖疥癣']"
木槿子,1,朝天子、川槿子、槿树子木槿果,甘、寒,肺、心、肝,清肺、化痰、止头痛、解毒,"['痰喘咳嗽', '支气管炎', '偏正头痛', '黄水疮', '湿疹']"
牛蒡根,1,恶实根、鼠粘根、牛菜,苦、寒,肺、心,祛风、祛热、消肿毒,"['风毒面肿', '头晕', '咽喉热肿', '齿痛', '咳嗽', '消渴', '痈疽疮疥']"
牛毛七,1,0,甘、淡、平,心、肺,养阴、清热、安神、定志、祛风、除湿、止血、镇痛,"['骨蒸潮热', '神经衰弱', '风湿疼痛', '癫狂', '外伤']"
甜瓜,1,甘瓜、香瓜、果瓜、熟瓜、穿肠瓜,甘、寒,心、胃,清暑热、解烦渴、利小便,"['暑热烦渴', '小便不利', '暑热下痢腹痛']"
石龙胆,1,蓝花地丁、紫花地丁、岩龙胆、鬼点灯、六月绿花草、绿花草、米布带、龙胆地丁、小龙胆、细蛇药、兰桃花、千线花,苦、辛、寒,肺、肝、心,清热、解毒,"['肠痈', '疔疮', '痈肿', '瘰疬', '目赤肿痛']"
铁蕨鸡,1,大羽新月蕨、散血莲、散血连,苦、寒,心、胃,通经、活络、理气、化湿,"['月经不调', '痢疾', '气滞胃痛', '劳伤疼痛']"
铁锈,1,铁衣、铁线粉,辛、苦、寒,心、肝、胃,清热、解毒、镇心、平肝,"['疗疮肿毒', '口疮', '重舌', '疥癣', '烫伤', '毒虫螫伤', '痫病']"
蛇附子,1,石猴子、石抱子、土经丸、金线吊葫芦、三叶对、小扁藤、三叶扁藤、拦山虎、雷胆子、石老鼠、搜夹风、丝线吊金钟、金线吊马铃薯、阴灵子,苦、辛、凉,肺、心、肝、肾,消热、解毒、祛风、活血,"['高热惊厥', '肺炎', '哮喘', '肝炎', '肾炎', '风湿痹痛', '跌打损伤', '痈疔疮疖', '湿疹', '蛇伤']"
秃疮花,1,秃子花、勒马回[陕西]、勒马回、兔子花,苦、寒,肺、心、胃,清热、解毒、消肿、止痛、杀虫,"['扁桃体炎', '牙痛', '淋巴结结核', '外用头癣', '体癣']"
山牡丹,1,葛藤、跌打王、藤续断、白牛藤、白面水鸡、白背藤、旋花藤、黄藤,微涩、温,心、肺,补气、生血、散瘀、止血,"['血虚头昏', '骨折', '内伤出血']"
柳叶,1,0,苦、寒,肺、肾、心,清热、透疹、利尿、解毒,"['痧疹透发不畅', '白浊', '疔疮疖肿', '乳腺炎', '甲状腺肿', '丹毒', '烫伤', '牙痛']"
山黄豆藤,1,螃蟹眼睛、古眼风、三叶豆,苦、平,心、肺,祛风、解热,"['小儿肺热咳嗽', '各种惊风']"
山柑算盘子,1,小甘淫、细甘淫、山柑树,苦、甘、凉,心、肺,清热、解毒,"['感冒发热', '署热口渴', '口腔炎', '湿疹', '疮疡溃烂']"
忍冬藤,1,忍冬、银花藤、金银藤、老翁须、金钗股、大薜荔、水杨藤、千金藤、鸳鸯草、鹭鸶藤、忍冬草、左缠藤、忍寒草、通灵草、蜜桶藤、金银花藤、金银花杆、甜藤、右篆藤、右旋藤、二花秧、银花秧、净制忍冬藤、二花藤,甘、寒,心、肺,清热、解毒、通络,"['温病发热', '疮痈肿毒', '热毒血痢', '风湿热痹']"
球兰,1,雪球花、金雪球、绣球花藤、玉绣球、壁梅、石梅、蜡兰、金丝叶、草鞋板、爬岩板、铁加杯、金雪球.牛舌黄、石壁梅、绣球叶、大石仙桃、牛舌黄、大石仙挑、玉叠梅、玉蝶梅、古梅、、绣球龙、厚叶藤、达斗藤、雪梅、肺炎草,苦、平,肺、心、肝,清热、化痰、消肿、止痛,"['肺热咳嗽', '痈肿', '瘰疬', '乳妇奶少', '关节疼痛', '睾丸炎']"
铅霜,1,铅白霜、玄白、玄霜、水银霜、铅糖,甘、酸、寒,心、肺,坠痰、镇惊、止血、解毒、敛疮,"['痰热惊痫', '鼻衄', '牙疳', '口疮', '溃疡']"
荠菜,1,枕头草、粽子菜、三角草、荠荠菜、菱角菜、地菜、上巳菜、荠、护生草、芊菜、鸡心菜、净肠草、地米菜、鸡脚菜、假水菜、地地菜、烟盒草、上已菜、荠只菜、蒲蝇花、香善菜、清明草、饭锹头草、香芹娘、香料娘、香田荠、植豉菜、靡草、羊菜、上e菜、清明菜、香田芥,甘、平,肝、心、肺,和脾、利水、止血、明目,"['痢疾', '水肿', '淋病', '乳糜尿', '吐血', '便血', '血崩', '月经过多', '目赤疼痛']"
乌蔹莓,1,母猪藤、红母猪藤、五爪龙、五叶藤、五龙草、拔、茏葛、龙尾、虎葛、五叶莓、笼草、乌蔹草、五爪龙草、赤葛、赤泼藤、五叶茑、血五甲、过山龙、绞股兰、猪婆藤、五爪藤、鸡丝藤、五爪金龙、小母猪藤、地老鼠、铁散仙、酸甲藤、五甲藤、铁称陀、五爪龙藤、钦称陀、五将草、过江龙、地五加、野葡萄藤、老鸦眼睛藤、老鸦藤、黄眼藤、止血藤、五爪绒,苦、酸、寒,心、肝、胃,清热、利湿、解毒、消肿,"['热毒痈肿', '疔疮', '丹毒', '咽喉肿痛', '蛇虫咬伤', '水火烫伤', '风湿痹痛', '黄疸', '泻痢', '白浊', '尿血']"
盘龙参,1,绶草、龙抱柱、盘龙草、双瑚草、鹝、一线香、猪鞭草、猪潦子、猪辽参、龙缠柱、猪牙参、扭兰、胜杖草、盘龙棍、过水龙、红龙盘柱、小猪獠参、盘龙箭、海珠草、蛇崽草、一枝枪、一叶一枝花、盘龙花、镰刀草、大叶青、九龙蛇、笑天龙、绶、马牙七、鲤鱼草、反皮索,甘、苦、平,心、肺,益阴、清热、润肺、止咳,"['病后虚弱', '阴虚内热', '咳嗽吐血', '头晕', '腰酸', '遗精', '淋浊带下', '疮疡痈肿']"
山葛薯,1,山萝卜、十兄弟、山江豆、山岗荚、立蝶豆,甘、微苦、平,肺、心,止咳、祛痰、消肿、拔毒,"['老年慢性气管炎', '疮肿']"
林檎,1,来禽、文林果、朱柰、五色林檎、联珠果、花红果、花红、沙果、林禽、蜜果、五色柰、文林朗果、金林禽、红林禽、水林禽、密林禽、黑林禽、频婆果,酸、甘、平,心、肝、肺,止渴、化滞、涩精,"['消渴', '泻痢', '遗精']"
了哥王,1,地棉根、山雁皮、埔银、指皮麻、九信草、石棉皮、雀仔麻、山埔仑、狗信药、消山药、桐皮子、大黄头树、九信菜、鸡子麻、山黄皮、鸡杧头、南岭荛花、蒲仑、地棉麻树、了哥麻、铺银草、雀几麻、鸡儿苦晚、铁乌散、山石榴、千年矮、乌子麻、地巴麻、山棉皮、火索木、毒鱼藤、曝牙郎、熟薯、假黄皮、山六麻、山豆了、九信药、鸡仔麻、鸟子麻、山麻皮、雀儿麻、地棉、铁骨伞、山络麻、石谷皮、红灯笼,苦、辛、寒,心、肺、小肠,清热、解毒、消肿、散结、止痛,"['瘰疬', '痈肿', '风湿痛', '百日咳', '跌打损伤']"
连翘茎叶,1,0,苦、寒,心、肺,清热、解毒,['心肺积热']
虎尾轮,1,狐狸尾、猫尾草、统天草、大本山菁、古钱窗草、铁金锏、狗尾射、老虎尾、大本山青,甘、微苦、平,心、肺、肝,清热、解毒、止血、消痈,"['咳嗽', '肺痈', '吐血', '咯血', '尿血', '脱肛', '子宫脱垂', '肿毒']"
猴枣,1,猴子枣、羊肠枣、猴丹、申枣,苦、微咸、寒,心、肺、肝,消痰、镇惊、清热、解毒,"['痰热喘嗽', '小儿惊痫', '瘰疬痰核']"
红花菜,1,米布袋、碎米荠、翘摇、翘翘花、野蚕豆、紫云英、荷花紫草、荷花莨、荷花郎、莲花草、花草、螃蟹花、灯笼花、米伞花、野鸭草、斑鸠花、滚龙珠、米筛花草、红花草、花菜、红花郎、草籽,甘、辛、平,心、肝、肺,清热、解毒,"['风痰咳嗽', '喉痛', '火眼', '疔疮', '带状疱疹', '外伤出血']"
黑种草,1,斯亚旦、瘤果黑种草,辛、热,心、肺,益气、养心、祛风、止咳,"['心悸', '失眠', '体虚', '风寒感冒', '咳嗽']"
韩信草,1,大力草、耳挖草、金茶匙、大韩信草、顺经草、调羹草、红叶犁头尖、大叶半枝莲、笑花草、虎咬癀、向天盏、印度黄芩、笑药草、半枝莲、合耳花、龙游香草、钩头线,辛、苦、平,心、肝、肺,祛风、活血、解毒、止痛,"['跌打损伤', '吐血', '咳血', '痈肿', '疔毒', '喉风', '牙痛']"
海底柏,1,红珊瑚,甘、微咸、凉,肝、心、肺,止咳、止血、和胃、止泻、安神、镇惊,"['咳血', '呕吐', '腹泻心神不安', '怔忡烦乱', '小儿惊风']"
孩儿茶,1,乌爹泥、乌垒泥、乌丁泥、西谢、儿茶、粉儿茶、儿茶膏、黑儿茶,苦、涩、凉,心、肺,清热、化痰、止血、消食、生肌、定痛,"['痰热咳嗽', '消渴', '吐血', '衄血', '尿血', '血痢', '血崩', '小儿消化不良', '牙疳', '口疮', '喉痹', '湿疮']"
木黄连,1,土黄连,苦、寒,心、肝,清热、燥湿、解毒,"['湿热痢疾', '腹泻', '黄疸', '目赤肿痛', '烧烫伤']"
鬼灯笼根,1,土骨皮,苦、寒,心、肺,清热、解毒、凉血、消肿,"['感冒发热', '咳嗽', '咽痛', '衄血', '赤痢', '疮疥', '瘰疬', '跌打肿痛']"
广州山柑,1,广州槌果藤,苦、寒,心、肺,清热、解毒、止咳、止痛,"['咽喉肿痛', '肺热咳嗽', '胃脘热痛', '跌打伤痛及疥癣']"
狗肝菜,1,猪肝菜、羊肝菜、青蛇仔、野青仔、小青、六角英、路边青、土羚羊、金龙棒、青蛇、麦穗红、野辣椒、假米针、紫燕草、假红蓝、九头狮子草、天青菜、大青,苦、寒,心、肝、肺,清热、凉血、利尿、解毒,"['热病斑疹', '便血', '溺血', '小便不利', '肿毒疔疮']"
皋芦,1,过罗、拘罗、物罗、瓜芦、苦艼、苦簦,苦、寒,心、肝、肺、膀胱,清热、除烦、止渴、明目,"['烦热头痛', '口渴', '目昏', '咽喉肿痛', '淋痛']"
岗梅叶,1,0,苦、甘、凉,心、肺、肝,0,"['感冒', '跌打损伤', '痈毒', '疔疮']"
甘肃棘豆,1,色舍儿,微辛、温,心、肺、小肠,解毒、医疮、止血、利尿,['各种内出血']
伽蓝菜,1,鸡爪三七、五爪三七、鸡脚三七、土三七、假川连、青背天葵、五爪田七、小灯笼草、大还魂、高凉菜,甘、苦、寒,心、肝、肺,清热、解毒、散瘀、止血,"['疮疡脓肿', '跌打损伤', '创伤出血', '烫伤', '湿疹']"
芙蓉花,1,拒霜花、片掌花、四面花、转观花、醉酒芙蓉、文官花、九头花、七星花、富常花、霜降花、山芙蓉、胡索花、旱芙蓉、三变花,辛、微苦、凉,肺、心、肝,清热、解毒、凉血、止血、消肿、排脓,"['肺热咳嗽', '吐血', '目赤肿痛', '崩漏', '白带', '腹泻', '腹痛', '痈肿', '疮疖', '毒蛇咬伤', '水火烫伤', '跌打损伤']"
鬼灯笼,1,虎灯笼、白灯笼、苦灯笼、红灯笼、红羊米青、红花路边青、夜鬼灯笼、土羚羊、岗灯笼、红羊精、苦丁茶、鬼点火,微苦、甘、寒,心、肺,清热、止咳、解毒、消肿,"['肺痨咳嗽', '骨蒸潮热', '咽喉肿痛', '跌打损伤', '疖肿疔疮']"
风箱树叶,1,风箱树、水杨梅、珠花树、鸡仔木、马烟木、水抱木、大叶水杨梅、假番桃,苦、凉,心、肺,清热、解毒、散瘀、消肿,"['痢疾', '肠炎', '风火牙痛', '疔疮肿毒', '跌打骨折', '外伤出血', '烫伤']"
花叶子,1,斑叶兰,苦、凉,肺、心、肾,清热、透疹、清心、安神,"['麻疹', '肺炎', '心烦失眠']"
黄瓜藤,1,0,苦、凉,心、肺,利水、解毒,"['痢疾', '淋病', '黄水疮']"
竻慈姑,1,天河芋、刺芋、水竻钩、勒蒙、竻芋、竻藕、勒茹茹、水刺芋、勒慈茹、勒芋、巧南、野茨茹、山茨茹、水勒芋、有勒慈姑、旱慈姑,苦、辛、凉,心、肺、膀胱,清热、利尿、解毒,"['热病口渴', '肺热咳嗽', '小便黄赤', '皮肤热毒']"
苦壶卢蔓,1,苦瓠藤,苦、寒,心、肺,杀虫、解毒,"['麻疹', '白麻疮']"
苦豆子,1,苦豆根、苦甘草[西北]、布亚,苦、寒,心、肺,清热、燥湿、止痛、杀虫,"['痢疾', '胃痛', '白带过多', '湿疹', '疮疖顽癣']"
巨紫堇,1,0,苦、寒,肺、心、肝,镇痛、镇静、抗菌、消炎,['各种疼痛']
金樱叶,1,塘莺薳,苦、平,肺、心,清热、解毒、活血、止血、止带,"['痈肿疔疮', '烫伤', '痢疾', '闭经', '崩漏', '带下', '创伤出血']"
羯布罗香,1,0,辛、苦、凉,心、肝、肺,开窍、醒神、散热、止痛,"['中风口噤', '热病神昏', '惊痫痰迷', '气闭耳聋', '目赤翳障', '口疮', '喉痹', '疮疡']"
焦栀子,1,0,苦、寒,心、肺、三焦,凉血、止血,"['血热吐衄', '尿血崩漏']"
花蚁虫,1,多毛隐翅虫、黄蚂蚁、花腰皮、大花虫、红腰虫,苦、寒,肺、心,解毒、杀虫、止痒,"['神经性皮炎', '癣疮']"
尖尾风根,1,0,辛、苦、温,肺、心,祛风、活血,"['风湿痹痛', '跌打损伤']"
熊胆,1,狗熊胆、黑瞎子胆、黑熊、熊、猪熊、狗熊、黑瞎子、登仓、狗驼子、罴、黄熊、豭罴、马熊、人熊,苦、寒,肝、胆、心、胃,清热、解毒、明目、止痉,"['小儿热盛惊风', '癫痫', '抽搐', '黄疸', '外用痈肿', '痔疮', '目赤云翳']"
鸡大腿,1,大果上叶、果上叶,甘、辛、寒,肺、心,清热、止咳、活血、消肿,"['肺热咳嗽', '肺结核咯血', '咽炎', '骨折', '外伤瘀血']"
黄紫堇,1,0,苦、凉,肺、心、膀胱,清热、解毒,"['疮毒肿痛', '痢疾', '肺结核咯血']"
雪里开,1,蛇松子、地雷、拐子药、雪里花,辛、苦、凉,心、肺、胃,行气、活血、抗菌、消炎、止痛,"['亦气管炎', '疔疮肿毒', '跌打损伤']"
黄葵,1,麝香秋葵、山油麻、假棉桃、假三棯、水芙蓉、假芙蓉、野芙蓉、假棉花、假山稔、毛夹、罗裙博、起风瘀、假三菍、药虎、磟碡草、三脚鳖、三脚破,微甘、凉,心、肺,清热、解毒、下乳、通便,"['高热不退', '肺热咳嗽', '痢疾', '大便秘结', '产后乳汁不通', '骨折', '痈疮脓肿', '无名肿毒及水炎烫伤']"
黄荆枝,1,黄金条,辛、微苦、平,心、肺、肝,祛风、解表、消肿、解毒,"['感冒', '咳嗽', '喉痹肿痛', '风湿骨痛', '牙痛', '烫伤']"
黄花独蒜,1,土白及[广西]、粉口兰、老鸦蒜、土白芨、白芨、冰梨子,苦、甘、寒,心、肺,补肺、止咳、清热、解毒,"['肺痨', '咳嗽', '咳血', '咯血', '痈疽疔疮', '跌打损伤']"
假大薯,1,青木香、假通虎城、土木香,微苦、辛、凉,肺、心,清热、解毒,"['无名肿毒', '瘰疬', '疔疖', '疮疡', '蛇', '虎咬伤及痢疾']"
墓头回,1,追风箭、脚汗草、铜班道、虎牙草、摆子草、墓头灰、箭头风、地花菜、九头鸟、木头回、自脚跟,苦、微酸、涩、凉,心、肝,0,"['温疟', '妇女崩中', '赤白带下', '跌打损伤']"
残槁蔃,1,楠木根、大疳根、潺槁木姜、香胶木、山胶木、青桐胶、野果木、牛耳枫、山加龙、潺果、三苦花,苦、寒,心、肝,0,"['痢疾', '肠炎', '风湿骨痛', '腮腺炎', '乳腺炎', '疮疖']"
苦地丁,1,地丁草、苦丁、小鸡菜、地丁、紫花地丁、扁豆秧,苦、寒,心、脾,清热、解毒,"['温病高热烦躁', '流感', '传染性肝炎', '肾炎', '瘰疬', '腮腺炎', '疔疮及其它化脓性感染']"
蓖麻根,1,0,辛、平,心、肝,镇静、解痉、祛风、散瘀,"['破伤风', '癫痫', '风湿疼痛', '跌打瘀痛', '瘰疬']"
斑点虎耳草,1,0,苦、平,心,解毒、消肿,['疮痈肿毒']
茶膏,1,0,苦、甘、凉,心、胃、肺,清热、生津、宽胸、开胃、醒酒、怡神,"['烦热口渴', '舌糜', '口臭', '喉痹']"
茶叶,1,苦茶、槚、荼、茗、荈、苦梌、蔎、腊茶、茶芽、芽茶、细茶、酪奴、苦荼、郭璞注、苦瑹、蔎,苦、甘、凉,心、肺、胃,清头目、除烦渴、化痰、消食、利尿、解毒,"['头痛', '目昏', '多睡善寐', '心烦口渴', '食积痰滞', '疟', '痢']"
百步还阳丹,1,鸟巢兰,甘、平,心、肝,活血、散瘀、接骨、生肌,"['跌打损伤', '骨折']"
白花丁香,1,0,苦、寒,心,清心、安神,"['心烦失眠', '头痛健忘']"
白粉蝶,1,白蝴蝶、粉蝶、菜白蝶,苦、寒,心,消肿、止痛,['跌打损伤']
白刺花叶,1,苦刺枝叶,苦、凉,心、肾,凉血、解毒、杀虫,"['衄血', '便血', '疔疮肿毒', '疥癣', '烫伤', '阴道滴虫']"
芭蕉叶,1,0,甘、淡、寒,心、肝,清热、利尿、解毒,"['热病', '中暑', '脚气', '痈肿热毒', '烫伤']"
石龙刍,1,龙须、草续断、龙珠、龙蒭、龙鬓、龙木、草毒、龙华、悬菟、龙须草、缙云草、龙修、悬莞、方宾、席草、草龙蒭、胡须草、野席草、草龙zou,苦、凉,心、小肠,利水、通淋,"['淋病', '小便不利']"
瞿麦,1,石竹子花、十样景花、洛阳花、巨句麦、大兰、山瞿麦、南天竺草、剪绒花、竹节草、瞿麦穗、麦句姜、龙须、四时美、圣茏草子,苦、寒,心、小肠,利尿、通淋、破血、通经,"['热淋', '血淋', '石淋', '小便不通', '淋沥涩痛', '月经闭止']"
矩镰荚苜蓿,1,莫桑河,微苦、微寒,心、小肠,清热、止咳,"['肺炎咳嗽', '创伤']"
石上瓜子菜,1,0,甘、寒,心、肝,清热、凉血、消肿、解毒,"['血热吐血', '衄血', '热毒痈肿']"
鲥鱼鳞,1,0,0,心、肝,敛疮、拔疔,"['疔疮', '烫火伤', '腿疮', '下疳']"
首乌藤,1,夜交藤,甘、平,心、肝,养血、安神、祛风、通络,"['失眠多梦', '血虚身痛', '风湿痹痛', '外皮肤瘙痒']"
赤小豆,1,赤豆、红小豆、亦豆、红豆、小红绿豆、虱拇豆、朱赤豆、金红小豆、朱小豆、小豆、猪肝赤、杜赤豆、虱牳豆、茅柴赤、米赤豆,甘、酸、平,心、小肠,利水、除湿、和血、排脓、消肿、解毒,"['水肿', '脚气', '黄疸', '泻痢', '便血', '痈肿']"
白鹅膏,1,白鹅脂,甘、凉,心、小肠,润皮、润肤、解毒肿,"['皮肤皴裂', '耳聋', '聤耳', '噎膈反胃', '药物中毒', '痈肿', '疥癣']"
书带蕨,1,晒不死、木莲金、九根索、马尾七、卷槽还阳、柳叶苇、树韭菜,苦、涩、凉,心、肝,疏风、清热、舒筋、止痛、健脾、消疳、止血,"['小儿急惊风', '目翳', '跌打损伤', '风湿痹痛', '小儿疳积', '妇女干血痨', '咯血', '吐血']"
远志,1,小草、细草、小鸡腿、细叶远志、线茶、葽绕、蕀蒬、棘菀、苦远志、小鸡眼、小草根,苦、辛、温,心、肾,宁心、安神、祛痰、开窍、解毒、消肿,"['心神不安', '惊悸失眠', '健忘', '惊痫', '咳嗽痰多', '痈疽发背', '乳房肿痛']"
玉蜀黍叶,1,玉蜀黍,微甘、凉,心、肾,利尿、通淋,"['砂淋', '小便涩痛']"
水胡满,1,蟚蜞盖、虎狼草、臭苦蓢、臭矢茉莉、缸瓦冧、缸瓦箖、苦郎树、假茉莉、见水生,苦、寒,心、肾、肝,去瘀、消肿、除湿、杀虫,"['跌打瘀肿', '皮肤湿疹', '疮疥']"
水黄杨木,1,乌棒子、倒莲花、三岔子、土八爪、气籽红山桂、木本远志、野桂花,甘、微苦、凉,心、肝、肾,清热、利湿、化痰、止咳,"['咽喉肿痛', '湿热黄疸', '支气管炎']"
